HT_ATTR,TECH_SERV,ROOM_COMF,SUP_ADEQ,FOOD_HYG,STAFF_APP,SERV_CONS,COMM_RELI,CUST_RESP,CUST_INFO,INV_ACC,COST_CLA,PROB_SOL,EMP_AVAIL,TOUR_RESP,CHECK_SPEED,GUEST_PROM,EMP_POL,SERV_TRAIN,SEC_TRUST,EMP_KNOW,SAFE_ENV,LOCAL_INFO,PROMPT_SERV,OPER_HOURS,LISTEN_NEED,CARE_ATTEN,POLITE_BEH,MGT_ACK,COMP_OFFER,ISSUE_BOX,COMPL_UND,POLITE_HND,PRC_EQ,BUD_RATE,PERC_VAL,ECON_FIT,FAC_CONV,PHYS_ACC,INFO_ACC,WIFI_RELI,WEB_INFO,TOUR_PROX,WALK_ATTR,PUB_TRANS,LOC_SUIT,EXT_SAT,CUST_SAT,COMP_SAT,REVISIT_SAT,SERV_SAT,cust_avg_gap
2,0,1,1,0,0,2,1,1,3,2,3,0,3,1,1,1,0,2,1,1,1,0,0,0,0,0,0,2,3,3,2,1,1,3,1,1,2,3,1,2,3,3,3,3,3,2,2,1,2,2,1.8
1,1,1,1,1,1,3,3,2,2,1,3,3,4,4,3,2,2,3,1,1,2,2,2,2,2,2,2,3,3,0,2,2,1,1,1,1,3,3,3,3,2,1,1,1,2,3,0,1,1,1,0.8
1,1,2,1,2,1,0,2,1,3,1,1,1,0,1,0,2,1,2,1,1,0,1,1,0,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,0,1,2,2,1.2
1,2,1,1,1,0,3,1,0,1,2,3,3,1,2,3,3,2,3,2,2,1,2,2,2,2,3,3,1,1,0,0,1,3,3,2,2,2,2,2,2,1,1,1,1,1,3,1,1,2,1,1.6
3,2,1,0,1,0,2,1,1,0,1,2,3,1,4,3,0,3,1,2,1,2,0,3,3,3,1,2,1,2,2,1,1,2,1,2,2,2,1,2,2,1,1,2,2,1,3,2,2,3,1,2.2
1,3,2,3,3,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,2,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0.4
3,4,2,2,4,1,2,3,0,2,1,2,3,2,1,1,2,0,2,2,1,2,2,3,3,2,2,3,0,2,1,2,0,3,0,1,1,3,2,1,1,3,2,2,2,2,1,1,2,2,3,1.8
3,1,1,1,1,1,1,2,2,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,2,3,2,2,2,2,2,2
2,1,1,3,2,2,1,1,1,1,1,0,2,3,1,3,1,1,2,2,2,0,1,2,1,2,2,2,0,2,1,0,1,2,2,1,1,2,2,2,2,2,3,3,3,3,1,2,0,2,1,1.2
1,2,3,2,3,3,1,1,0,1,1,0,1,0,0,0,0,2,3,2,2,1,2,2,1,2,1,2,2,2,2,1,1,1,1,1,0,4,3,3,3,3,0,0,0,0,0,3,2,2,1,1.6
2,2,2,1,2,2,1,0,1,0,0,1,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,3,2,2,1,2,2,2,0,0,1,1,0,0,1,2,2,2,2,1,2,1,1,1,1.2
1,0,3,2,2,1,3,3,1,1,1,2,1,1,3,1,1,3,3,3,3,3,3,3,3,3,3,3,0,0,2,0,2,2,2,3,2,2,2,3,2,3,3,3,3,3,1,3,1,3,2,2
1,2,3,2,2,2,2,1,1,2,1,1,1,0,0,2,0,0,1,1,2,0,3,1,1,1,1,1,0,1,1,1,0,2,0,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1.6
1,1,3,0,3,2,1,0,0,1,1,1,1,1,0,0,0,1,1,1,2,1,1,3,3,3,2,3,2,1,0,0,1,1,2,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0.2
0,1,0,2,2,1,2,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,2,1,0,0,1,1,0,1,0,0,0,1,1,1,2,2,2,1,2,2,0,0,0,0,1,0,0,2,0,0.6
0,1,0,0,0,1,1,0,0,1,1,2,1,2,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,3,3,3,3,1,0,1,1,1,0.8
1,0,2,1,2,1,2,2,1,3,1,1,0,0,1,1,1,2,0,0,0,0,2,1,2,1,2,1,2,3,0,1,2,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,2.6
3,2,1,2,2,2,2,3,3,3,2,4,2,3,2,3,3,3,4,4,3,4,4,3,3,3,3,1,1,1,2,3,4,2,3,3,3,2,2,2,2,2,3,3,3,4,1,1,1,3,2,0.4
1,2,2,3,3,1,1,1,0,2,1,1,3,3,2,2,4,2,3,1,0,1,2,0,0,0,0,0,0,2,4,1,2,1,1,1,1,1,1,1,2,0,1,2,1,0,0,0,0,0,0,0
3,0,0,0,4,3,0,0,2,1,0,0,2,2,1,2,2,3,4,1,2,1,4,3,3,3,4,2,1,4,4,3,1,3,1,1,3,0,1,0,1,1,1,2,2,2,0,0,0,0,0,0
2,1,1,1,0,1,1,1,2,0,2,2,2,3,2,2,2,1,3,1,3,1,2,2,2,3,2,2,1,3,3,3,1,2,2,2,2,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0
3,3,2,3,4,2,0,2,1,0,1,1,0,1,0,0,1,1,2,1,2,1,3,0,0,0,1,0,1,2,3,2,1,1,1,2,3,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0
2,1,3,3,3,2,0,1,0,0,0,1,1,0,1,2,1,2,3,0,2,1,1,2,3,3,3,3,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,0,2,0,0,0,0,0,0
3,2,3,3,3,3,0,0,2,0,1,1,0,2,2,1,1,1,3,2,3,1,1,2,2,0,2,0,2,2,3,3,2,1,1,1,1,0,0,2,0,2,1,1,1,1,0,0,0,0,0,0
0,1,1,2,2,1,1,2,1,2,1,2,0,1,0,0,0,1,0,1,0,2,1,2,2,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
1,3,3,0,3,0,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,2,1,2,0,0,0,0,0,0
1,2,2,2,2,1,0,2,0,3,1,1,2,1,1,0,0,0,0,2,0,2,2,1,2,1,2,2,1,2,0,2,1,0,1,2,1,3,0,1,0,0,1,2,2,2,0,0,0,0,0,0
2,1,1,1,0,1,0,2,0,0,2,2,1,1,2,1,1,1,4,2,3,2,2,1,0,0,0,0,3,2,4,2,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2,0,3,2,3,3,0,2,0,0,2,2,0,0,0,0,0,1,4,2,3,2,2,1,0,0,1,0,2,1,1,0,2,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3,1,1,1,1,0,0,1,1,3,0,0,0,0,0,0,0,3,2,3,3,2,3,0,1,0,1,1,2,1,1,2,1,0,0,1,1,0,0,1,1,0,1,2,1,1,0,0,0,0,0,0
1,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,2,1,0,1,1,1,0,2,1,1,0,1,1,1,1,0,1,1,1,2,1,3,3,0,0,0,0,0,0
2,1,2,0,1,1,1,1,1,2,1,2,3,3,3,3,3,2,2,1,1,1,1,0,2,1,1,3,1,2,2,1,2,1,0,1,1,1,0,1,1,2,3,1,1,2,0,0,0,0,0,0
2,1,2,2,1,2,1,0,0,1,1,1,0,0,0,0,0,2,2,2,2,2,2,1,0,0,0,1,2,3,2,3,2,1,1,0,0,1,0,0,1,1,2,2,2,2,0,0,0,0,0,0
0,0,4,3,2,1,3,3,2,2,2,2,0,0,0,0,0,2,1,2,1,2,2,2,3,4,1,2,1,2,1,2,1,2,3,2,2,2,2,2,1,2,1,2,2,1,0,0,0,0,0,0
2,4,1,2,4,3,2,3,1,0,4,3,0,0,0,0,0,3,2,3,3,3,3,1,2,1,0,3,4,2,3,2,4,2,3,2,4,3,3,4,3,4,1,1,0,3,2,3,3,3,2,2.6
2,3,4,3,3,1,2,2,1,2,2,3,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,3,1,3,1,1,1,0,1,1,0,1,1,0,3,3,0,2,2,2
1,3,1,1,1,3,1,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,0,0,1,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0.2
2,2,2,2,2,3,2,2,2,4,2,1,1,1,1,1,1,1,1,1,0,0,1,2,2,1,2,1,0,1,2,0,1,1,1,1,1,1,1,2,2,1,0,3,1,0,1,0,3,3,0,1.4
2,1,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,1,1,1,1,2,0,0,2,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0.4
1,3,1,3,3,2,2,2,1,1,1,3,2,2,2,2,2,3,2,2,2,3,2,3,1,2,1,3,3,3,1,3,1,1,1,1,1,3,2,2,2,3,1,1,1,1,3,2,1,2,1,1.8
2,2,2,1,1,1,3,4,3,1,0,2,2,2,2,2,2,2,1,2,2,2,1,3,2,1,1,1,2,3,2,2,1,3,3,4,2,2,1,2,2,2,1,1,2,3,3,4,3,2,1,2.6
1,4,3,3,4,4,0,2,0,4,2,3,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,0,3,2,3,2,2,3,2,3,2,4,4,4,4,4,3,2,1,2,2,2,1,1,2,1.2
1,3,1,0,0,0,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,2,1,1,1,0,0.6
1,2,3,3,2,3,1,1,0,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,3,2,2,1,1,1,1,2,2,2,2,2,1,3,2,1,0,0,0,0,1,0.2
1,2,1,3,0,3,0,1,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,3,1,1,0,1,1,1,0,0.2
1,2,2,4,3,1,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,0,3,1,2,1,2,1,2,0,0,1,0,2,2,2,2,2,1,1,2,2,2,1,0,1,1,1,1,0.8
1,3,1,0,0,2,0,0,1,0,1,1,1,1,1,1,1,2,2,2,2,2,2,0,1,0,0,1,3,2,2,3,1,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0.2
0,1,0,0,1,1,2,2,0,3,0,1,0,0,0,0,0,1,1,0,0,1,2,1,1,1,1,1,0,2,2,0,0,1,0,2,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0.6
1,2,2,2,1,1,1,2,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,2,2,0,0,2,3,1,1,1,1,0,1,1,2,3,0,0,1,0,0,3,1,1
0,1,0,2,2,3,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,1,1,4,3,2,1,1,2,3,1,2,2,2,1,1,0,1,0,0,1,1,2,1,3,3,1,0,1,0,0,0.4
1,2,0,1,1,3,1,2,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,0,1,1,1,1,3,2,1,2,2,2,1,0,1,1,1,1,2,1,0,1,1,2,2,2,2,1.8
2,2,0,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,2,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,2,1,1.2
1,3,1,1,1,3,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,2,1,2,2,1,2,2,0,1,1,1,2,2,2,2,2,2,0,1,3,1,0,1,1,0,0.6
1,2,2,1,0,2,3,1,0,1,3,1,2,2,2,2,2,2,2,1,1,1,2,1,1,0,0,1,1,2,1,0,1,1,0,2,1,1,1,0,0,0,1,0,1,0,0,1,1,3,1,0.8
1,1,1,2,3,2,0,1,0,2,0,2,1,1,1,1,1,1,1,0,1,1,1,2,3,1,1,3,0,1,2,1,0,1,2,1,2,3,3,2,1,3,1,3,3,3,1,0,0,1,0,0.4
0,3,3,1,2,3,3,2,1,0,2,3,3,3,3,3,3,0,0,1,0,2,2,1,0,0,1,1,0,0,1,2,3,1,2,1,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0.6
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,2,0,2,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,2,2,3,2,2,0,0,2,0,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0
0,0,1,1,0,1,1,0,0,0,2,2,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,4,3,3,3,4,2,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
2,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,2,2,2,2,2,2,3,2,1,1,0,2,2,1,2,1,1,0,0,0,1,1,1,1,1,2,3,3,2,0,0,0,0,0,0
1,0,0,0,1,1,1,2,2,1,0,2,2,2,2,2,2,3,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,3,2,3,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,2,2,4,2,1,2,1,1,2,2,2,2,2,2,3,4,1,1,0,0,0,0,0,0
4,3,4,2,0,4,1,1,0,0,0,1,1,1,1,1,1,4,4,1,4,4,4,2,2,3,3,4,0,0,2,0,2,3,0,4,0,4,4,4,4,4,4,0,4,2,0,0,0,0,0,0
1,2,2,0,1,3,0,1,2,1,0,1,1,1,1,1,1,3,3,3,3,3,3,2,4,1,0,0,2,2,4,1,0,1,1,0,1,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0
0,3,0,1,3,3,1,2,2,0,1,2,1,1,1,1,1,3,3,3,3,3,2,1,3,1,1,1,3,3,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0
2,3,2,2,2,3,0,0,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2,3,2,1,2,0,1,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
3,3,1,2,4,3,2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,2,2,2,1,2,0,1,1,1,0,2,0,1,1,2,2,2,2,2,4,4,2,2,0,0,0,0,0,0
2,1,2,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,2,2,2,1,2,1,1,1,1,0,2,0,0,1,1,1,1,1,1,4,4,2,2,0,0,0,0,0,0
1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,2,2,0,0,0,0,0,0
1,1,2,0,2,1,1,0,3,0,1,1,2,2,2,2,2,1,3,1,3,1,2,1,1,2,0,2,1,1,2,0,2,1,1,1,2,0,0,0,0,0,1,1,1,1,1,0,2,0,2,0.6
1,3,1,4,0,0,2,4,0,0,0,1,2,2,2,2,2,3,3,2,3,3,3,2,1,0,0,0,1,4,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,3,2,1.6
2,3,1,1,1,2,1,1,0,0,0,1,2,2,2,2,2,0,1,1,1,2,1,1,2,1,0,1,1,1,1,0,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,0,0.8
2,2,1,1,0,1,2,1,0,0,1,1,1,1,1,1,1,0,0,1,2,2,2,2,1,3,1,3,0,1,1,2,2,0,2,1,3,1,1,1,1,1,2,0,0,0,1,0,2,2,3,0
0,0,0,1,0,0,1,0,2,0,1,0,2,2,2,2,2,0,0,0,0,0,1,1,1,0,0,3,1,1,1,1,1,3,0,2,1,3,3,3,3,3,2,0,1,1,1,1,0,0,0,0.4
0,3,2,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,0,0,1,1,1,1,1,2,2,1.4
0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,2,1,0,1
1,2,1,1,2,1,0,0,0,3,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,1,1
0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,1,1,3,3,3,3,3,3,0,0,1,0,1,1,2,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.6
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
2,1,2,4,3,0,2,2,3,0,0,2,2,2,2,2,2,3,3,1,3,3,1,2,0,1,3,2,0,2,3,3,2,2,1,0,2,2,2,2,2,2,1,1,1,1,0,2,3,1,0,1.2
1,1,1,2,1,3,2,3,1,3,1,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,2,3,3,3,4,4,3,3,3,0,4,2,3,3,2,3,4,3
2,3,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,3,3,2,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.2
1,1,1,1,1,1,1,2,1,2,1,2,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,2,1,2,1,1.2
3,1,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,0,1,2,2,2,2,2,0,0,0,2,2,2,1,1,4,2
0,2,1,4,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,4,0,0,1,1,1,1,1,1,1,1,1,0,4,4,4,1,1,1,1,1,1
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,2,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,2,1,1,0,1,2,1,0,1,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,4,1,4,3,4,1,1,0,0,0,0,0,0,0,0
1,2,1,3,2,1,0,1,0,0,0,0,1,1,1,1,1,1,1,2,2,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,2,1,1,1,2,1,1,0,1,0,0,0,0,0,0
1,1,2,1,0,1,1,0,1,1,1,3,1,1,0,1,1,1,0,1,0,0,1,0,1,1,2,0,0,1,1,0,1,1,1,2,3,0,0,1,1,0,0,1,0,1,1,1,1,2,2,1
0,1,3,3,2,1,0,1,2,1,2,0,0,0,0,0,0,0,1,0,0,1,0,2,1,3,2,2,0,1,2,1,0,0,1,1,0,1,2,1,1,2,1,2,1,2,0,0,1,0,1,0.4
1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,0,1,0,1,0,1,1,0,1,1,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1.4
0,2,1,0,1,1,1,0,0,2,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,2,0,1,0,0,1,0,0,2,2,1,1,1,1,0,1,2,0,1,1,1,1,1,0.6
1,1,1,1,1,3,0,2,0,0,0,1,0,1,1,0,1,1,2,2,1,2,1,2,1,2,1,2,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,2,2,2,0,0,0,0,0,0
2,2,2,2,1,3,0,1,0,3,0,1,1,0,0,1,1,1,1,0,0,1,0,1,2,2,2,2,2,3,3,4,2,0,0,0,1,2,2,1,1,2,2,1,2,2,0,0,0,0,0,0
0,2,1,0,0,1,0,0,0,2,1,0,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0
1,1,1,0,1,1,2,2,0,2,2,3,2,2,2,2,2,3,3,3,3,3,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,0,1,0,1,2,1,2,2,2,2,2,2,2,2,2,3,3,2,1,0,1,0,2,1,0,1,0,1,1,2,2,0,0,0,0,0,0
1,1,0,1,1,1,1,0,0,1,3,1,0,1,2,2,3,0,0,3,0,1,1,0,0,1,0,1,4,3,3,4,4,1,2,2,2,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,3,3,3,3,3,3,0,0,0,0,0,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0
3,3,4,2,2,3,3,2,1,0,3,1,3,2,1,0,4,0,1,1,2,3,0,2,2,3,2,1,3,2,2,1,4,2,2,3,2,2,1,1,0,1,2,1,1,0,0,0,0,0,0,0
0,1,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0
1,0,0,2,1,3,0,0,0,0,2,3,1,2,1,2,3,2,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,1,1,2,1,2,0,2,0,0,0,0,0,0
0,2,1,2,0,1,0,1,1,2,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,2,1,2,0,2,1,0,0,1,0,1,0,1,1,0,4,3,3,4,0,0,0,0,0,0
1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,2,2,2,2,2,2,1,1,1,0,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,2,1,1,2,1,0,0,0,0,0,0,1,1,2,1,2,1,1,1,1,0,0,1,2,2,0,0,2,1,1,2,1,1,0,1,0,0,1,2,0,1,2,2,0,1
2,1,3,2,3,2,1,2,3,3,3,4,1,1,2,1,2,2,2,2,1,2,1,0,1,0,1,1,2,4,3,3,2,2,3,1,3,3,3,3,2,3,1,2,0,1,1,1,2,0,2,1.2
2,1,2,2,2,1,1,2,0,2,1,2,1,1,0,1,1,0,1,2,0,2,0,0,1,1,2,0,2,3,1,1,1,2,1,3,3,1,0,1,1,1,1,1,0,2,2,2,0,1,2,1.4
2,2,2,3,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,1,1,2,0,0,2,2,1,0,2,3,3,2,1,0,0,1,1,2,1,1,1,2,2,2,3,3,1,0,0,1,1,0.6
3,2,3,3,3,1,1,0,1,2,1,1,1,1,0,0,3,0,0,1,0,0,0,0,2,0,1,0,1,1,3,1,1,1,1,0,3,2,2,1,2,2,0,4,4,4,1,1,4,3,0,1.4
2,3,3,3,2,3,0,0,0,0,0,0,0,1,1,0,0,1,2,2,2,2,1,1,0,1,2,1,0,1,1,1,0,1,1,1,3,1,2,2,2,2,2,3,0,3,0,1,0,1,1,0.6
3,3,3,2,3,3,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,3,3,3,3,3,1,1,3,3,1,1,1,2,1,1.2
1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,3,3,3,2,3,2,1,1,0,3,1,2,2,2,2,2,0,0,0,2,3,3,3,3,3,3,3,3,3,0,0,1,1,1,0.2
3,3,3,3,3,2,1,0,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,1,2,0,0,0,3,3,3,1,0,0,0,1,1,1,1,1,1,1,0,0,3,3,1,0,2,1,0,0.8
1,1,2,2,0,2,1,1,1,4,2,1,2,1,0,1,1,0,0,1,1,0,0,0,2,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0.2
1,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,0,0,0,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1
3,2,2,3,3,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,2,2,1,1,2,2,2,2,2,0,0,0,1,1,1,0,0,1,0.2
2,1,0,3,4,0,2,2,2,2,1,2,2,3,2,3,3,3,3,3,3,3,3,3,2,2,4,4,2,2,1,1,4,3,2,2,2,1,1,1,1,1,3,2,3,4,1,0,1,0,0,0.4
3,1,2,0,3,3,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0.4
0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,2,2,2,2,2,1,0,0,0,1,0,0,1,1,0.2
1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,0,2,1,0,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,2,1.2
0,1,1,0,2,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,2,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,1,0,0,1,0
1,1,2,1,2,2,1,1,1,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,0,0,0,0,2,2,2,2,2,2
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,2,0,0,1,0,0,0,0,1,2,1,2,2,0,2,1,2,2,2,2,2,2,0,0,1,0,1,2,1,1,2,1.4
0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,3,4,3,3,2,2,1,1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,1,0.4
1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,1
1,1,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0.4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,2,3,3,3,3,3,3,1,3,3,3,1,1,1,2,2,1.4
0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,2,1,1,1,0,1,0,0,0,0,0,0,1,1,3,2,0,0,0,1,0,0.2
